Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,processId,resourceCost,resourceId
192,Start,,2025-01-25 00:24:00.000,2025-01-25 00:24:00.000,Variant 3,3,Event_0frlo4p,Process_1fs5yg9,,
192,Activity A,cross_trained_employee-000007,2025-01-25 00:24:00.000,2025-01-25 05:04:58.486,Variant 3,3,Activity_1b1ad30,Process_1fs5yg9,69.99369166666666,QBP_DEFAULT_RESOURCE
192,Activity B,cross_trained_employee-000002,2025-01-25 05:04:58.486,2025-01-25 09:43:02.295,Variant 3,3,Activity_0ostlyd,Process_1fs5yg9,69.51587083333334,QBP_DEFAULT_RESOURCE
192,Activity C,cross_trained_employee-000003,2025-01-25 09:43:02.295,2025-01-25 10:05:08.547,Variant 3,3,Activity_1swvhdt,Process_1fs5yg9,5.52605,QBP_DEFAULT_RESOURCE
192,Activity E,cross_trained_employee-000005,2025-01-25 10:05:08.547,2025-01-25 12:18:55.253,Variant 3,3,Activity_0fxu22k,Process_1fs5yg9,33.444608333333335,QBP_DEFAULT_RESOURCE
192,Activity F,cross_trained_employee-000006,2025-01-25 10:05:08.547,2025-01-25 19:31:17.729,Variant 3,3,Activity_1i0xxsy,Process_1fs5yg9,141.53825833333332,QBP_DEFAULT_RESOURCE
192,Activity I,cross_trained_employee-000004,2025-01-25 19:31:17.729,2025-01-25 19:36:33.186,Variant 3,3,Activity_1kt83un,Process_1fs5yg9,1.3144041666666666,QBP_DEFAULT_RESOURCE
192,Activity J,cross_trained_employee-000010,2025-01-25 19:36:33.186,2025-01-25 20:21:47.661,Variant 3,3,Activity_0k8rmwo,Process_1fs5yg9,11.3103125,QBP_DEFAULT_RESOURCE
192,End,,2025-01-25 20:21:47.661,2025-01-25 20:21:47.661,Variant 3,3,Event_11w9bbq,Process_1fs5yg9,,
190,Start,,2025-01-24 18:24:00.000,2025-01-24 18:24:00.000,Variant 1,1,Event_0frlo4p,Process_1fs5yg9,,
190,Activity A,cross_trained_employee-000003,2025-01-24 18:24:00.000,2025-01-24 22:13:11.386,Variant 1,1,Activity_1b1ad30,Process_1fs5yg9,57.29744166666667,QBP_DEFAULT_RESOURCE
190,Activity B,cross_trained_employee-000002,2025-01-24 22:13:11.386,2025-01-25 02:38:16.476,Variant 1,1,Activity_0ostlyd,Process_1fs5yg9,66.02120833333333,QBP_DEFAULT_RESOURCE
190,Activity C,cross_trained_employee-000009,2025-01-25 02:38:16.476,2025-01-25 04:03:17.109,Variant 1,1,Activity_1swvhdt,Process_1fs5yg9,21.2526375,QBP_DEFAULT_RESOURCE
190,Activity E,cross_trained_employee-000004,2025-01-25 04:03:17.109,2025-01-25 13:52:16.464,Variant 1,1,Activity_0fxu22k,Process_1fs5yg9,147.24731250000002,QBP_DEFAULT_RESOURCE
190,Activity F,cross_trained_employee-000010,2025-01-25 04:03:17.109,2025-01-25 09:56:37.430,Variant 1,1,Activity_1i0xxsy,Process_1fs5yg9,88.33467083333333,QBP_DEFAULT_RESOURCE
190,Activity J,cross_trained_employee-000001,2025-01-25 13:52:16.464,2025-01-26 12:00:42.543,Variant 1,1,Activity_0k8rmwo,Process_1fs5yg9,331.85866250000004,QBP_DEFAULT_RESOURCE
